BookUrl,NumberOfTweets,Readers,Language,AuthorUrl
https://leanpub.com/ArchesUserGuide,,175,English,https://leanpub.com/u/arches
https://leanpub.com/startabusinessintaiwan,,71,English,https://leanpub.com/u/eliasek
https://leanpub.com/anniversaries-2014,,36,English,https://leanpub.com/u/rg
https://leanpub.com/tco-automating-your-mac,,2,English,https://leanpub.com/u/joekissell
https://leanpub.com/funretrospectives,,879,English,https://leanpub.com/u/tainacaetano,https://leanpub.com/u/paulocaroli
https://leanpub.com/entarch,,1007,English,https://leanpub.com/u/peterdoomen
https://leanpub.com/appropriatebehaviour,,361,English,https://leanpub.com/u/graham1
https://leanpub.com/adventuresofabiggirlinaflatcity,,16,Язык книги Русский язык(Russian),https://leanpub.com/u/yulich1978
https://leanpub.com/Improve_your_security,,496,English,https://leanpub.com/u/sorinmustaca
https://leanpub.com/power_lines,,,English,https://leanpub.com/u/caracabe
https://leanpub.com/China2014,,,English,https://leanpub.com/u/woodegg
https://leanpub.com/jolshishura,,,Bengali,https://leanpub.com/u/suhreed
https://leanpub.com/laravel4documentation,,1181,English,https://leanpub.com/u/fsalehpour
https://leanpub.com/scalingphp,,57,English,https://leanpub.com/u/stevecorona
https://leanpub.com/coffeescript,,2710,El idioma del libro: Español,https://leanpub.com/u/soyjavi
https://leanpub.com/marionette-gentle-introduction,,2416,English,https://leanpub.com/u/davidsulc
https://leanpub.com/gaiafromabove,,49,English,https://leanpub.com/u/huchengtw,https://leanpub.com/u/stevechung,https://leanpub.com/u/pychen,https://leanpub.com/u/yurenju,https://leanpub.com/u/crh0716,https://leanpub.com/u/anonymous1KDfeNwqLBORxzWNQBkiRp,https://leanpub.com/u/dwi2,https://leanpub.com/u/eragonj,https://leanpub.com/u/evanxd,https://leanpub.com/u/lukechang,https://leanpub.com/u/snowmantw
https://leanpub.com/lekcje,,29,Polish,https://leanpub.com/u/marekkowalczyk
https://leanpub.com/understandinges6,,100,English,https://leanpub.com/u/nzakas
https://leanpub.com/NextPracticeEA,,34,English,https://leanpub.com/u/richardveryard
https://leanpub.com/gettingvalueoutofagileretrospectives_ES,,,El idioma del libro: Español,https://leanpub.com/u/lmsgoncalves,https://leanpub.com/u/benlinders
https://leanpub.com/zomopolis,,,English,https://leanpub.com/u/rghart
https://leanpub.com/ryphna_s_notebook,,4,English,https://leanpub.com/u/ryphna
https://leanpub.com/focusintegral,,,El idioma del libro: Español,https://leanpub.com/u/juanmanuelferrera
https://leanpub.com/rareorchid,,5,English,https://leanpub.com/u/heatherhpogson
https://leanpub.com/switchplus-wp,,,Sprache: Deutsch
https://leanpub.com/cpp_for_dinosaurs,,17,English,https://leanpub.com/u/nickeconomidis
https://leanpub.com/PropheticPoetry,,7,English,https://leanpub.com/u/andrecronje
https://leanpub.com/deadlyalliancethegearsofwar,,,English,https://leanpub.com/u/dragonsnake9989
https://leanpub.com/marionetteexpose,,1663,English,https://leanpub.com/u/xjackk
https://leanpub.com/ThePolarBearer,,,הספר כתוב בשפה: עברית,https://leanpub.com/u/ideetsivan,https://leanpub.com/u/guysivan
https://leanpub.com/blissercise,,,English,https://leanpub.com/u/jimkitzmiller
https://leanpub.com/shieldingadyinglight,,2,English,https://leanpub.com/u/zanedickens
https://leanpub.com/gsd-laravel-tr,,3,Dil: Turkish,https://leanpub.com/u/chuckheintzelman,https://leanpub.com/u/sineld
https://leanpub.com/ilvascellodeldiavolo,,5,Lingua del libro: italiana,https://leanpub.com/u/alessandrapoma
https://leanpub.com/nysfederations,,,English,https://leanpub.com/u/donaldrnoyes
https://leanpub.com/changeartistry,,87,English,https://leanpub.com/u/estherderby,https://leanpub.com/u/jerryweinberg,https://leanpub.com/u/johannarothman,https://leanpub.com/u/dongray
